epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,155.018,2.77528,5.9609,2.00464,0.06957,0.1031,0.03996,0.01493,2.36729,3.42722,1.79991,0.0668477,6.64376e-05,6.64376e-05
2,298.308,2.27015,3.09615,1.64479,0.32319,0.3331,0.25707,0.1199,1.94689,2.22597,1.54591,0.033581,0.000133099,0.000133099
3,441.35,1.99069,2.31675,1.46835,0.57373,0.53707,0.54593,0.27727,1.78932,1.71819,1.43387,0.000314288,0.000199741,0.000199741
4,581.447,1.80066,1.84549,1.34203,0.77817,0.64968,0.73554,0.39199,1.68955,1.28613,1.33397,0.000199932,0.000199932,0.000199932
5,720.618,1.73579,1.57943,1.29742,0.84917,0.69239,0.80638,0.47674,1.51541,1.07507,1.26943,0.000199879,0.000199879,0.000199879
6,863.32,1.64712,1.36898,1.24938,0.84239,0.73141,0.82758,0.4842,1.48712,1.03995,1.24425,0.000199811,0.000199811,0.000199811
7,1006.26,1.5867,1.28539,1.22276,0.87973,0.7738,0.86652,0.51565,1.49574,0.92301,1.21617,0.000199727,0.000199727,0.000199727
8,1147.98,1.52323,1.16282,1.18911,0.88131,0.82027,0.88561,0.54966,1.42917,0.84554,1.19863,0.000199629,0.000199629,0.000199629
9,1290.87,1.50666,1.10555,1.18083,0.9244,0.80104,0.89897,0.56404,1.38427,0.81602,1.18564,0.000199515,0.000199515,0.000199515
10,1435.37,1.44756,1.01861,1.14008,0.90785,0.83348,0.90586,0.54525,1.46031,0.79888,1.18924,0.000199387,0.000199387,0.000199387
11,1577.3,1.43994,0.98275,1.14448,0.95773,0.8,0.92562,0.57344,1.40347,0.72913,1.16315,0.000199243,0.000199243,0.000199243
12,1719.33,1.42719,0.96393,1.14854,0.89907,0.88612,0.92961,0.59556,1.33948,0.71077,1.15465,0.000199084,0.000199084,0.000199084
13,1859.34,1.3951,0.92182,1.11748,0.90708,0.88512,0.93113,0.59795,1.33587,0.68134,1.12255,0.000198911,0.000198911,0.000198911
14,2000.88,1.36747,0.89526,1.10583,0.91588,0.88433,0.94414,0.62311,1.27147,0.65616,1.1188,0.000198722,0.000198722,0.000198722
15,2140.99,1.32508,0.84239,1.09918,0.91061,0.90071,0.94325,0.6172,1.26811,0.63294,1.11224,0.000198518,0.000198518,0.000198518
16,2281.26,1.33668,0.84693,1.09784,0.95223,0.89192,0.94521,0.6416,1.22231,0.62285,1.08303,0.0001983,0.0001983,0.0001983
17,2422.66,1.31422,0.81248,1.08574,0.94417,0.90403,0.95574,0.6245,1.27346,0.60879,1.11605,0.000198066,0.000198066,0.000198066
18,2562.42,1.29303,0.81308,1.07343,0.92769,0.91816,0.96114,0.64985,1.21605,0.5781,1.09351,0.000197818,0.000197818,0.000197818
19,2703.62,1.27889,0.76226,1.07096,0.95693,0.91024,0.95676,0.655,1.1876,0.57158,1.0651,0.000197555,0.000197555,0.000197555
20,2844.75,1.27278,0.76778,1.05852,0.95629,0.90934,0.96009,0.64701,1.23095,0.56396,1.08464,0.000197277,0.000197277,0.000197277
21,2985.22,1.26397,0.75305,1.05689,0.94192,0.91859,0.95891,0.63646,1.2686,0.56292,1.10456,0.000196984,0.000196984,0.000196984
22,3125.54,1.20778,0.71064,1.03646,0.95046,0.9169,0.96648,0.66555,1.1983,0.53626,1.08793,0.000196677,0.000196677,0.000196677
23,3266.46,1.24185,0.7278,1.04617,0.95896,0.91038,0.96383,0.67765,1.13559,0.54496,1.06805,0.000196355,0.000196355,0.000196355
24,3405.69,1.22246,0.71938,1.03968,0.94929,0.92875,0.96839,0.67523,1.1648,0.52123,1.06989,0.000196018,0.000196018,0.000196018
25,3546.41,1.20181,0.70492,1.03166,0.96226,0.92192,0.97326,0.67915,1.15408,0.51917,1.04898,0.000195667,0.000195667,0.000195667
